Model,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,DeathCount
G0_W0_1766893167.pt,0.007421305441780238,0.021915449666964595,0.08822103640881669,0.37441324425013645,0.4064401974259567,0.0,0.8856628253351583,0.38426281134192347,0.4023607396894038,0.8829393739584988,0.047538318292432005,0.011047481459573159,0.9999596912252136,1.0,1.0,6
G0_W0_1766895916.pt,0.635158855550749,0.05374057761577651,0.3603744268645942,0.28718304446895226,0.7786861422994498,2.3130841347696078e-132,0.9978382416602875,0.4511988570076071,0.16188149758068926,0.172601974924572,0.44696187735977,0.8430655098427204,0.10707396566000449,2.1453980877418606e-85,0.006104540875596772,5
G0_W0_1766893237.pt,0.3757830562498341,0.02347898569887705,0.7648626861085059,0.19451809627572936,0.43842966707036346,6.77566051240675e-235,0.4714931837138234,0.09234114285780066,0.7763673731560887,0.7976329321333205,0.7969187739381254,0.7351494336571585,0.6154139891156709,2.6875234586572656e-32,0.0874367446434316,6
G0_W0_1766901491.pt,0.2066808489198707,0.31194808901531995,0.8383800628651493,0.0012831508298894864,0.04571895678158264,0.0,0.16762281416168914,0.010450397434614494,0.8265084695184719,0.8989395122155148,0.24644316069865355,0.6116246354851526,0.9239850816609638,1.0,1.0,6
G0_W0_155.pt,0.8663617141957743,0.07275400052155691,0.8643855260260676,0.028444781146475005,0.4152135565502352,0.0,0.23758100738775081,0.8678296225880698,0.7930197487807769,0.8275329057188043,0.72621974460398,0.8158726027814189,0.1057333536650853,1.5191495885723176e-35,0.1992948805093402,5
G0_W0_1766895350.pt,0.24032466564725918,0.31912157097193516,0.9070197506618697,0.1079508669204146,0.5300211558534793,0.0,0.4204901809112679,0.03571812778494121,0.46910943398673177,0.7205212508236922,0.4880018522611165,0.8249151277010773,0.9115909758628389,3.8666509772672423e-79,0.09039937338247962,6
G0_W0_1766908166.pt,0.41371816669394823,0.028054529476204244,0.32700412155101444,0.02757395712124789,0.14945001516670509,0.0,0.5847629347892244,0.29525258030215673,0.460768136633824,0.25217868124527004,0.9517789931895445,0.993827007662225,0.8081790940190283,1.0,1.0,5
G0_W1_1766902633.pt,0.6939497178260462,0.46696286166585843,0.034699924046076816,0.991268934536539,0.3334932405644538,0.0,0.7425154826969749,0.1822470374378669,0.3183143524798616,0.00372776572516526,0.5196969570177138,0.3222364042784105,0.35787223889255104,1.5835053183005597e-21,0.016051778248389728,9
G0_W1_1766900504.pt,0.47624799776763294,4.7408558047641975e-05,0.2265542889504416,0.013130168144233918,0.3774533445260155,1.5209273169710708e-54,0.832008196558989,0.08023208375028026,0.45751530638606097,0.6499144835989856,0.40557579915327796,0.27510448211321054,0.7352925390471139,1.0,1.0,7
G0_W1_1766890646.pt,0.03147869577424753,0.5738645305637046,0.06813178327278718,0.24288221453087608,0.41278859409163815,7.542005037151752e-272,0.3960988406199275,0.31568932116341836,0.6719021161503123,0.5718353113781465,0.10508680340157248,0.13027314920030184,0.9984130925390334,2.3750488368418816e-13,0.14023781017810338,7
G0_W0_643.pt,0.08784869600899255,0.16239503483960463,0.046623675186394944,0.028863374041064583,0.07160455334250868,1.2104496695644738e-146,0.6447993129770605,0.28290704221980817,0.48457061258004686,0.43849237502169414,0.4176365952167456,0.5330939148682872,0.9871478875921555,1.0,1.0,3
G0_W0_278.pt,0.0011990528794180847,0.022543319934015576,0.42702940289575164,0.9920934502354264,0.651538052347529,1.416351402777588e-308,0.12555182795628994,0.5118929848634617,0.5125522709588051,0.1463467446279841,0.1638014116737059,0.12770595523690376,0.9999925590326209,1.0,1.0,5
G0_W1_1766903062.pt,0.7710410950844329,0.9628262454819569,0.5486434044201649,0.15198389688960096,0.4875129282923878,0.0,0.5671213755041923,0.5258585906491915,0.08385011460539349,0.44458266534146373,0.9895098160469638,0.9911958726610048,0.20610524031475852,5.500154294965484e-11,4.519058508216695e-05,7
G0_W1_346.pt,0.7904642108018873,0.6283731267329014,0.6560150629170907,0.37059136657357533,0.15296912125404058,0.0,0.42653395840017355,0.9257673632482692,0.9924983139755399,0.906295870638559,0.2649825554896933,0.0246694265584508,0.3985907038085139,1.0,1.0,6
G0_W1_1766904655.pt,0.3305548568656441,0.39919810081013274,0.8767976551805405,0.09973828211312898,0.784398244344321,1.1430042040237369e-145,0.6299059630553447,0.9547817340077022,0.20546167933119108,0.896561516802146,0.9219411048335726,0.8987440178924265,0.9288259400813694,1.0,1.0,5
